Venue,Venue Latitude,Venue Longitude,Venue Category,Health System,geom,Address,Postcode,Borough,CVE GEO,Neighbourhood
Alfadent,20.615875650393700,-100.389651797308,Dentist's Office,Private,"20.615875650393697,-100.389651797308","Lateral Bernardo Quintana, Rinconada Álamos, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400012244,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Laboratorio Medico Polanco Plaza del Parque,20.6145909134953,-100.390836503236,Medical Lab,Private,"20.6145909134953,-100.390836503236","Plaza del Parque, Calle Epigmenio González, Rinconada Álamos, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400011227,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Chopo,20.6099851421627,-100.38675043028400,Medical Lab,Private,"20.6099851421627,-100.38675043028401","Bradia, 352, Avenida Corregidora, Álamos 3ra Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400012244,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Clinica Dental Centauro,20.6141786022648,-100.391112485182,Dentist's Office,Private,"20.6141786022648,-100.391112485182","Plaza del Parque, Calle Epigmenio González, Rinconada Álamos, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400011227,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Ópticas Devlyn,20.6172021112532,-100.396052684714,Doctor's Office,Private,"20.6172021112532,-100.396052684714","Lateral Bernardo Quintana, Alamos del Lago, Delegación Epigmenio González, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400010816,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Núcleo Médico Lomas De Casa Blanca,20.573244,-100.394348,Medical Center,Private,"20.573244,-100.394348","Calle 27, Lomas de Casa Blanca, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76080, México",76080,Queretaro,2201400010572,"Lomas de Casa Blanca, Presidentes"
Santorio Querétaro,20.572766,-100.389639,Hospital,Private,"20.572766,-100.389639","Calle 11, Lomas de Casa Blanca, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76080, México",76080,Queretaro,2201400010587,"Lomas de Casa Blanca, Presidentes"
Clínica Dental PreVé,20.5739521490514,-100.387406945229,Dentist's Office,Private,"20.5739521490514,-100.387406945229","Calle 1, Lomas de Casa Blanca, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76080, México",76080,Queretaro,2201400010587,"Lomas de Casa Blanca, Presidentes"
Unidad Médica de Atención Ambulatoria IMSS,20.5719860651731,-100.40001933139,Medical Center,Public,"20.5719860651731,-100.40001933139","Unidad Médica de Atención Ambulatoria, Calle 4, Lomas de Querétaro, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76190, México",76190,Queretaro,2201400010873,"Rincón de San Antonio, Los Pilares, Del Valle, Club Campestre, Lomas de Queretaro"
Hospital del Niño y la Mujer,20.578333634835100,-100.370247164466,Hospital,Public,"20.578333634835104,-100.370247164466","Hospital del Niño y la Mujer, Avenida Luis Vega y Monroy, Plazas del Sol Primera Sección, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76099, México",76099,Queretaro,2201400010869,"Plazas del Sol 2a Sección, Plazas del Sol 1a Sección, Plazas del Sol 3a Sección"
Ultrasonido Médico de Quéretaro (UMQ),20.5773691824448,-100.37330882795600,Doctor's Office,Private,"20.5773691824448,-100.37330882795601","Scottiabank, Avenida Luis Vega y Monroy, Plazas del Sol Primera Sección, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76099, México",76099,Queretaro,2201400010869,"Plazas del Sol 2a Sección, Plazas del Sol 1a Sección, Plazas del Sol 3a Sección"
LUAN,20.571785,-100.371901,Dentist's Office,Private,"20.571785,-100.371901","Calle Cerro De La Estrella, Privada Colinas, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76099, México",76099,Queretaro,220140001091A,"Plazas del Sol 2a Sección, Plazas del Sol 1a Sección, Plazas del Sol 3a Sección"
Clínica Dental Especializada,20.5731237806338,-100.37158147210000,Dentist's Office,Private,"20.5731237806338,-100.37158147209999","108, Calle Cerro Azul, Privada Colinas, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76099, México",76099,Queretaro,220140001091A,"Plazas del Sol 2a Sección, Plazas del Sol 1a Sección, Plazas del Sol 3a Sección"
Instituto Mexicano De Oftalmologia I.A.P.,20.5754326536473,-100.36323758463700,Doctor's Office,Public,"20.5754326536473,-100.36323758463699","Claustro del Marques, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76099, México",76099,Queretaro,2201400012386,"Plazas del Sol 2a Sección, Plazas del Sol 1a Sección, Plazas del Sol 3a Sección"
Unidad De Medicina Familiar # 16,20.587474403164000,-100.371839202463,Medical Center,Public,"20.587474403164002,-100.371839202463","Clínica del IMSS #16, Avenida Constituyentes, El Marqués, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76047, México",76047,Queretaro,2201400011284,"El Marqués, Quintas del Marqués"
Cruz Roja Mexicana,20.5801443621828,-100.36441384000900,Medical Center,Public,"20.5801443621828,-100.36441384000901","Calle Estadio, Claustro del Marques, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76047, México",76047,Queretaro,2201400010869,"El Marqués, Quintas del Marqués"
Vázquez Quiropedistas,20.582351668157900,-100.367258191109,Medical Center,Private,"20.582351668157898,-100.367258191109","Calle Fray Andrés de Córdoba, Quintas del Marqués, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76047, México",76047,Queretaro,2201400011299,"El Marqués, Quintas del Marqués"
Hospital Punta Sur,20.579818552157,-100.36412685875600,Hospital,Private,"20.579818552157,-100.36412685875601","Calle Estadio, Claustro del Marques, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76047, México",76047,Queretaro,2201400012386,"El Marqués, Quintas del Marqués"
Clínica Las Américas,20.5867195444724,-100.369846399289,Doctor's Office,Private,"20.5867195444724,-100.369846399289","Calle Fray Rivero Payo, Quintas del Marqués, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76047, México",76047,Queretaro,2201400011284,"El Marqués, Quintas del Marqués"
Medica Centro Sur,20.5787943232772,-100.36077468662000,Hospital,Private,"20.5787943232772,-100.36077468661999","Boulevard Bernardo Quintana, Claustro del Marques, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76047, México",76047,Queretaro,2201400012386,"El Marqués, Quintas del Marqués"
UNEME DEDICAM,20.576515317136600,-100.369484317675,Medical Center,Private,"20.576515317136604,-100.369484317675","Avenida Fray Luis de León, Rinconada del Sur, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76090, México",76090,Queretaro,2201400010869,"Centro Sur, Colinas del Cimatario"
Cancerologia de Queretaro,20.5596586663107,-100.36617478776200,Medical Center,Private,"20.5596586663107,-100.36617478776199","414, Avenida Colinas del Cimatario, Fraccionamiento Monte Blanco II, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76090, México",76090,Queretaro,2201400011890,"Centro Sur, Colinas del Cimatario"
Insefer Instituto De Fertilidad,20.56141882,-100.36164809,Hospital,Private,"20.56141882,-100.36164809","Calle Licenciado Manuel Gómez Morín, Rinconada del Sur, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76090, México",76090,Queretaro,2201400013488,"Centro Sur, Colinas del Cimatario"
Torre Médica Centro Sur,20.55990009855,-100.366361705232,Doctor's Office,Private,"20.55990009855,-100.366361705232","Torre médica Del Sur, 401, Avenida Colinas del Cimatario, Fraccionamiento Monte Blanco, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76090, México",76090,Queretaro,2201400013488,"Centro Sur, Colinas del Cimatario"
dentalia,20.5730020442783,-100.361563460083,Dentist's Office,Private,"20.5730020442783,-100.361563460083","Avenida Armando Birlain Shaffler, Claustro del Marques, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76090, México",76090,Queretaro,2201400013488,"Centro Sur, Colinas del Cimatario"
INSEMER,20.5596405137055,-100.36049365997300,Doctor's Office,Private,"20.5596405137055,-100.36049365997299","Rinconada del Sur, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76090, México",76090,Queretaro,2201400013488,"Centro Sur, Colinas del Cimatario"
Clinica Dental Universidad Cuauhtemoc,20.589524160769900,-100.36249009321000,Dentist's Office,Public,"20.589524160769898,-100.36249009320998","Universidad Cuauhtemoc, Avenida Constituyentes, Vista Dorada, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76049, México",76049,Queretaro,2201400010479,Loma Bonita
Clínica de Especialidades Dentales Milenio,20.596153309587100,-100.35839433710500,Dentist's Office,Private,"20.596153309587102,-100.35839433710501","Camino Real de Carretas, Milenio 3, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76069, México",76069,Queretaro,2201400013469,"San José de los Perales, La Cuesta, La Estación, Nuevo Morelos, La Estación 2a. Sección, Bugambilias, Hércules, Tejas, El Limonar, El Bosque, 2 de Abril, Jardines de Hércules, 8 de Diciembre"
La Marquesa Clinica Dental Y Medica,20.6009288413646,-100.347889875121,Dentist's Office,Private,"20.6009288413646,-100.347889875121","Avenida Fundadores, 8 de diciembre, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76069, México",76069,Queretaro,2201400012282,"San José de los Perales, La Cuesta, La Estación, Nuevo Morelos, La Estación 2a. Sección, Bugambilias, Hércules, Tejas, El Limonar, El Bosque, 2 de Abril, Jardines de Hércules, 8 de Diciembre"
Torre Médica del Sur,20.5716475324122,-100.37922670121700,Hospital,Private,"20.5716475324122,-100.37922670121701","Calle Plaza Capuchinas, Loma Linda, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76048, México",76048,Queretaro,2201400012418,Arquitos
Clinicos EUREKA,20.558429353548100,-100.397324167018,Medical Center,Private,"20.558429353548103,-100.397324167018","Tortillería Garcia, Boulevard de Las Américas, Reforma Agraria Segunda Sección, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76048, México",76048,Queretaro,2201400012441,Arquitos
Jurisdiccion Sanitaria 1,20.571737862628600,-100.385179121823,Goverment Center,Private,"20.571737862628602,-100.385179121823","Calle San Diego De Los Padres, Vista Alegre 2da Secc., Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76074, México",76074,Queretaro,2201400010657,"La Alhambra, Vista Alegre, Vista Alegre 2a Secc, Vista Alegre 3a Sección, Palomar del Duque"
Clínica de Especialidades Médicas Colinas del Cimatario,20.5621566772461,-100.371055603027,Doctor's Office,Private,"20.5621566772461,-100.371055603027","Clínica de Especialidades Médicas, Calle Cerro Del Acutzingo, La Alhambra, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76074, México",76074,Queretaro,2201400011890,"La Alhambra, Vista Alegre, Vista Alegre 2a Secc, Vista Alegre 3a Sección, Palomar del Duque"
Centro de Salud Lázaro Cárdenas,20.5571978199289,-100.38197352411500,Doctor's Office,Private,"20.5571978199289,-100.38197352411501","Centro De Salud, Calle Licenciado Carlos A. Madrazo, Lázaro Cádenas, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76087, México",76087,Queretaro,2201400011087,"Huertas del Cimatario, Linderos del Cimatario, Prados de Queretaro, Bosques de las Lomas, Pedregal del Cimatario, Raquel Trejo Ortiz, Bellavista, Manantiales del Cimatario, Prados del Cimatario, Monte Blanco II, Monte Blanco III, Misión Cimatario, Jardines del Cimatario, San Andrés, Comerciantes, Lázaro Cárdenas, Lomas de Pasteur, Monte Blanco I, Vista Azul, Villas del Rincón, Constelación, Villas del Cimatario, Zapata Vive, Bosques de Queretaro, Unidad Roma, Cuitlahuac, Praderas del Sol, Campestre Italiana, Bosques del Cimatario 2a. Sección"
CONSULTORIO DENTAL KENIA MARIA SANCHEZ CARRASCO,20.5583245493927,-100.38152217865,Dentist's Office,Private,"20.5583245493927,-100.38152217865","Calle Alfredo V. Bonfil, Lázaro Cádenas, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76087, México",76087,Queretaro,2201400011087,"Huertas del Cimatario, Linderos del Cimatario, Prados de Queretaro, Bosques de las Lomas, Pedregal del Cimatario, Raquel Trejo Ortiz, Bellavista, Manantiales del Cimatario, Prados del Cimatario, Monte Blanco II, Monte Blanco III, Misión Cimatario, Jardines del Cimatario, San Andrés, Comerciantes, Lázaro Cárdenas, Lomas de Pasteur, Monte Blanco I, Vista Azul, Villas del Rincón, Constelación, Villas del Cimatario, Zapata Vive, Bosques de Queretaro, Unidad Roma, Cuitlahuac, Praderas del Sol, Campestre Italiana, Bosques del Cimatario 2a. Sección"
Clínica Dental San Gabriel,20.557365175505300,-100.378090760021,Dentist's Office,Private,"20.557365175505304,-100.378090760021","Circuito Lázaro Cárdenas, Constelación, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76087, México",76087,Queretaro,2201400011087,"Huertas del Cimatario, Linderos del Cimatario, Prados de Queretaro, Bosques de las Lomas, Pedregal del Cimatario, Raquel Trejo Ortiz, Bellavista, Manantiales del Cimatario, Prados del Cimatario, Monte Blanco II, Monte Blanco III, Misión Cimatario, Jardines del Cimatario, San Andrés, Comerciantes, Lázaro Cárdenas, Lomas de Pasteur, Monte Blanco I, Vista Azul, Villas del Rincón, Constelación, Villas del Cimatario, Zapata Vive, Bosques de Queretaro, Unidad Roma, Cuitlahuac, Praderas del Sol, Campestre Italiana, Bosques del Cimatario 2a. Sección"
Centro Medico Cubano,20.548983,-100.383385,Rehab Center,Private,"20.548983,-100.383385","Calle Meteorito, Universo 2000, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76087, México",76087,Queretaro,2201400013026,"Huertas del Cimatario, Linderos del Cimatario, Prados de Queretaro, Bosques de las Lomas, Pedregal del Cimatario, Raquel Trejo Ortiz, Bellavista, Manantiales del Cimatario, Prados del Cimatario, Monte Blanco II, Monte Blanco III, Misión Cimatario, Jardines del Cimatario, San Andrés, Comerciantes, Lázaro Cárdenas, Lomas de Pasteur, Monte Blanco I, Vista Azul, Villas del Rincón, Constelación, Villas del Cimatario, Zapata Vive, Bosques de Queretaro, Unidad Roma, Cuitlahuac, Praderas del Sol, Campestre Italiana, Bosques del Cimatario 2a. Sección"
Clinica ISSSTE La Azteca,20.558037288902600,-100.384304359536,Hospital,Public,"20.558037288902604,-100.384304359536","Calle Chimalpopoca, Azteca, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76230, México",76230,Queretaro,2201400012992,"Juriquilla Santa Fe, Caletto, Independencia, Azteca, Nuevo Juriquilla, Jurica Acueducto, Los Naranjos, Paraíso Diamante, Nuevo Paraíso, Mayoral 1 y 2, La Solana, Altavista Juriquilla, Rancho Largo, Juriquilla Privada, San Francisco Juriquilla, Jurica Tolimán, La Cañada Juriquilla, Balcones de Juriquilla, Cumbres del Lago, Rinconada Santini, Hacienda Grande, Colinas de Juriquilla, Punta Juriquilla, Jurica La Solana, Paseo del Piropo"
Pabellón médico juriquilla,20.708808968670100,-100.448224461975,Medical Center,Private,"20.708808968670102,-100.448224461975","Plaza Calixe, 523, Calle R. M. Clemencia Borja Taboada, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76230, México",76230,Queretaro,2201400583740,"Juriquilla Santa Fe, Caletto, Independencia, Azteca, Nuevo Juriquilla, Jurica Acueducto, Los Naranjos, Paraíso Diamante, Nuevo Paraíso, Mayoral 1 y 2, La Solana, Altavista Juriquilla, Rancho Largo, Juriquilla Privada, San Francisco Juriquilla, Jurica Tolimán, La Cañada Juriquilla, Balcones de Juriquilla, Cumbres del Lago, Rinconada Santini, Hacienda Grande, Colinas de Juriquilla, Punta Juriquilla, Jurica La Solana, Paseo del Piropo"
Médica Vial Nexus,20.614509043438,-100.486404352117,Hospital,Private,"20.614509043438,-100.486404352117","Privada Paseo Natura Iv, Prados del Rincón, Viñedos, Delegación Felipe Carrillo Puerto, San Pedro Mártir, Municipio de Querétaro, Querétaro, 76230, México",76230,Queretaro,220140001472A,"Juriquilla Santa Fe, Caletto, Independencia, Azteca, Nuevo Juriquilla, Jurica Acueducto, Los Naranjos, Paraíso Diamante, Nuevo Paraíso, Mayoral 1 y 2, La Solana, Altavista Juriquilla, Rancho Largo, Juriquilla Privada, San Francisco Juriquilla, Jurica Tolimán, La Cañada Juriquilla, Balcones de Juriquilla, Cumbres del Lago, Rinconada Santini, Hacienda Grande, Colinas de Juriquilla, Punta Juriquilla, Jurica La Solana, Paseo del Piropo"
Dentista,20.5570201292293,-100.388494530113,Dentist's Office,Private,"20.5570201292293,-100.388494530113","Calle El Salvador, El Marques Queretano, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76085, México",76085,Queretaro,2201400011903,"Lomas del Valle, La Unión, Vistas del Cimatario, Bosques del Cimatario, Rincón del Cimatario, Altos del Cimatario, Fraternidad de Santiago, Lázaro Cárdenas III, Universo 2000, Azteca, Arte Mexicano, Colinas del Sur, Lomas del Cimatario, El Marqués Queretano"
Medical Center Juriquilla,20.6832037247612,-100.452682101508,Medical Center,Private,"20.6832037247612,-100.452682101508","Paseo del Mesón, La campana, Delegación Félix Osores, Cumbres del Lago, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400012672,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Centro De Salud Jurica,20.6765370340526,-100.458681257451,Doctor's Office,Private,"20.6765370340526,-100.458681257451","22, Calle Lirios, Gobernantes, Delegación Félix Osores, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400012691,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Clinica Estetica Dental,20.670780896457,-100.45098067453000,Dentist's Office,Private,"20.670780896457,-100.45098067452999","Avenida Jacarandas, La campana, Delegación Félix Osores, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400011617,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Unidad de Resonancia Magnética,20.705208320726900,-100.446408933177,Medical Center,Private,"20.705208320726896,-100.446408933177","Circuito UNAM, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583774,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Santé Centro Médico Juriquilla,20.7068261753706,-100.44632434845000,Doctor's Office,Private,"20.7068261753706,-100.44632434844999","Boulevard Universitario, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Torre Medica Medici,20.7099088566399,-100.447486772478,Doctor's Office,Private,"20.7099088566399,-100.447486772478","Calle Acueducto De Zacatecas, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Laboratorio Corregidora,20.707311630249,-100.44708251953100,Medical Lab,Private,"20.707311630249,-100.44708251953101","Calle R. M. Clemencia Borja Taboada, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
NeiDent,20.7068604651007,-100.446760175266,Dentist's Office,Private,"20.7068604651007,-100.446760175266","Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Laboratorio Chopo,20.7055541220565,-100.443900884559,Medical Lab,Private,"20.7055541220565,-100.443900884559","Starbucks Juriquilla, Avenida de las Ciencias, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
dentalia,20.70586562633,-100.44378014873300,Dentist's Office,Private,"20.70586562633,-100.44378014873301","Radio Shack Juriquilla, Avenida de las Ciencias, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Family Chiropractic,20.7075752283183,-100.446798592451,Chiropractor,Private,"20.7075752283183,-100.446798592451","Boulevard Universitario, Delegaciön Santa Rosa Jáuregui, Juriquilla, Municipio de Querétaro, Querétaro, 76100, México",76100,Queretaro,2201400583740,"Murano, Las Campanas, Privada de los Portones, Jurica, Jurica Pinar, Gobernantes, Jurica, Valle de Juriquilla, Rinconada Jurica, El Bordo, Hacienda Juriquilla Santa Fe, Bleu Casas Platina, Jurica, Santa Rosa, Vive, Dolce Terra, El Destino, Valle Garden, La Castellana, Atenas"
Dra. Uranga,20.6157371367001,-100.444872264986,Doctor's Office,Private,"20.6157371367001,-100.444872264986","Calle Beta Centauro, El Sol, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76113, México",76113,Queretaro,2201400011689,"Rancho San Pedro, Valle de San Pedro, El Arcángel, Tonatiuh 3a Sección, Tonatiuh 2a. Sección, Tonatiú, Tonatiuh 4a Sección, Alborada, Plan Santa María, Valle de San Pedro 2a Sección, Los Framboyanes, La Luna, Bosques del Sol, Rinconada del Sol, El Sol Residencial, El Sol, Santa Isabel"
Hospital Santo Tomás,20.6264363853465,-100.46226557123000,Hospital,Private,"20.6264363853465,-100.46226557122999","Hospital Santo Tomas, 2906, Prolongación Bernardo Quintana, Residencial Arcangel 3, Delegación Félix Osores, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76113, México",76113,Queretaro,2201400013647,"Rancho San Pedro, Valle de San Pedro, El Arcángel, Tonatiuh 3a Sección, Tonatiuh 2a. Sección, Tonatiú, Tonatiuh 4a Sección, Alborada, Plan Santa María, Valle de San Pedro 2a Sección, Los Framboyanes, La Luna, Bosques del Sol, Rinconada del Sol, El Sol Residencial, El Sol, Santa Isabel"
Hospital San José,20.614985241089000,-100.43927496487800,Hospital,Private,"20.614985241089002,-100.43927496487801","El sol, Calle Bosques De Mesquite, Fraccionamiento Bosques del Sol, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76114, México",76114,Queretaro,2201400011689,"Los Castaños, Sendero, Lomas del Carmen, La Huerta, El Rocio II, Don Manuel, Puerta del Sol II, Los Sauces, El Rocio"
Clinica Dental El Rocio,20.6203991042525,-100.440350220666,Dentist's Office,Private,"20.6203991042525,-100.440350220666","Avenida Témpano, El Rocío, Delegación Félix Osores, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76114, México",76114,Queretaro,2201400011068,"Los Castaños, Sendero, Lomas del Carmen, La Huerta, El Rocio II, Don Manuel, Puerta del Sol II, Los Sauces, El Rocio"
Odontologia Integral QRO,20.6183853149414,-100.425682067871,Dentist's Office,Private,"20.6183853149414,-100.425682067871","Los Patos, El Sol, Obrera, Delegación Félix Osores, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76114, México",76114,Queretaro,2201400011265,"Los Castaños, Sendero, Lomas del Carmen, La Huerta, El Rocio II, Don Manuel, Puerta del Sol II, Los Sauces, El Rocio"
MENOS KILOS Carrillo,20.6102341069634,-100.434929630208,Doctor's Office,Private,"20.6102341069634,-100.434929630208","Avenida Revolución, El Tintero, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76114, México",76114,Queretaro,2201400012920,"Los Castaños, Sendero, Lomas del Carmen, La Huerta, El Rocio II, Don Manuel, Puerta del Sol II, Los Sauces, El Rocio"
